time,V (V),I (A),T0 (C),T1 (C),T2 (C),T3 (C),T4 (C),T5 (C),Tw1 (C),Tw2 (C),Tw3 (C),Tw4 (C),P (V),T0cal (C),T1cal (C),T2cal (C),T3cal (C),T4cal (C),T5cal (C),Tw1cal (C),Tw2cal (C),Tw3cal (C),Tw4cal (C),Pcal (psi),Q01 (W),Q12 (W),Q23 (W),Q34 (W),Q45 (W),T6ext (C),T_s (C)
2024-07-18T18:39:45.893155,23.39,0.1949,126.63385009765625,114.76336669921875,112.41473388671875,110.71043395996094,108.62113189697266,104.97563171386719,98.71692657470703,98.3408432006836,99.08597564697266,98.56465911865234,0.04531383514404297,127.29593474876373,114.41575702389086,111.91857501423765,110.45640949195499,108.41849928472035,103.68432086791451,98.20267093553163,97.35285080372945,98.1946830532917,97.93465194780818,13.530310704850319,82.6365830902209,5.895606757758979,3.458581256261148,4.814348888242829,3.079294997461394,98.85597529481586,101.3751139773114
2024-07-18T18:39:47.894154,23.39,0.195,126.61087036132812,114.77529907226562,112.4157943725586,110.69338989257812,108.60047912597656,104.96297454833984,98.77120971679688,98.38795471191406,99.0708236694336,98.5638656616211,0.045326706022024155,127.27270670294143,114.42774278972989,111.91963945426923,110.43929340832798,108.39773721335115,103.6717097243838,98.25759094139524,97.40017267091982,98.1795885870728,97.93385904547759,13.534177730112008,82.41065848456466,5.921390958504123,3.501585155201696,4.822962151462627,3.0739933148656005,98.83472584685343,101.80881332872472
2024-07-18T18:39:49.889169,23.39,0.195,126.59188079833984,114.77091217041016,112.42683410644531,110.6854019165039,108.58798217773438,104.92676544189453,98.76641845703125,98.39994049072266,99.07337951660156,98.54090118408203,0.04534231871366501,127.25351194661617,114.42333625817142,111.93072035157653,110.43127168068362,108.38517412768334,103.63563227580225,98.2527434693387,97.41221196700987,98.18213473318727,97.91091062225559,13.538868526891093,82.3157802623226,5.884826627218549,3.5467701767306163,4.833690632959834,3.089287977152037,98.78788872602011,101.3243806790102
2024-07-18T18:39:51.887161,23.39,0.1949,126.58116912841797,114.7447509765625,112.41700744628906,110.67831420898438,108.57727813720703,104.93547821044922,98.76338195800781,98.38653564453125,99.08854675292969,98.53131866455078,0.045354846864938736,127.24268453083447,114.39705800301667,111.9208570511399,110.42415402549585,108.37441343831098,103.64431336435685,98.24967134532832,97.3987472673089,98.19724440027848,97.90133480180148,13.542632580713107,82.41490968420928,5.8460724965262685,3.540275674535548,4.8422969187098905,3.0766422835931055,98.7879385078982,101.40123261858416
2024-07-18T18:39:53.880159,23.39,0.1949,126.56517791748047,114.70313262939453,112.38906860351562,110.6585464477539,108.5638656616211,104.93318176269531,98.78182983398438,98.42015838623047,99.1030044555664,98.53700256347656,0.04535982012748718,127.22652052550792,114.35525342970983,111.89281403390473,110.40430273960615,108.36092998006679,103.64202526658545,98.26833565652696,97.43252013673529,98.21164722680658,97.90701472715045,13.544126785843167,82.57941431851195,5.81358278505962,3.5208990936655775,4.827253594506093,3.069360382814655,98.80073746956313,101.34282584974709
2024-07-18T18:39:55.880156,23.39,0.195,126.54531860351562,114.68409729003906,112.3609619140625,110.64766693115234,108.55844116210938,104.93167114257812,98.77552032470703,98.4042739868164,99.07355499267578,98.54508209228516,0.04534746706485748,127.206446620038,114.33613291451267,111.86460254414658,110.39337725381738,108.35547677255164,103.6405201391478,98.26195212246522,97.41656481244536,98.182309543219,97.91508860761294,13.54041533699577,82.57329756172676,5.835045702399728,3.4800110762605434,4.814325911662523,3.06679239695484,98.81219760942894,101.33465048318763
2024-07-18T18:39:57.890159,23.39,0.195,126.53917694091797,114.66519165039062,112.33663177490234,110.630615234375,108.54773712158203,104.93880462646484,98.78838348388672,98.41153717041016,99.10548400878906,98.54586791992188,0.04538676142692566,127.2002385931831,114.31714267937897,111.84018168615559,110.37625350855939,108.34471608317928,103.6476276853812,98.27496619553423,97.42386042662595,98.21411736855941,97.91587388588266,13.552221236405407,82.65530559291008,5.847866881109375,3.462750610917484,4.799293860240408,3.0551701969298137,98.83438090954378,101.59834712950244
2024-07-18T18:39:59.890158,23.39,0.1949,126.52388000488281,114.64338684082031,112.31941986083984,110.6061782836914,108.53688049316406,104.92534637451172,98.7796859741211,98.43001556396484,99.123046875,98.56026458740234,0.04535432904958725,127.18477636480537,114.29524030165011,111.8229055947076,110.35171330450508,108.33380199837751,103.63421836820929,98.26616664434879,97.44242132740897,98.23161357260568,97.93026048874643,13.542477004298817,82.6966242725383,5.8369446637637985,3.4799330183267174,4.767103584220581,3.056793193758068,98.85325545470198,101.34436484832366
2024-07-18T18:40:01.880156,23.39,0.195,126.5054931640625,114.61996459960938,112.29871368408203,110.59725952148438,108.520751953125,104.93325805664062,98.7796859741211,98.41883087158203,99.11106872558594,98.55545806884766,0.04534626752138138,127.1661908434137,114.27171325489448,111.80212221164473,110.3427568578802,108.31758810149,103.64210128312271,98.26616664434879,97.43118669464765,98.21968088783044,97.92545733039763,13.540054936956908,82.7283280875053,5.830467137437926,3.451957785659765,4.7842485484488,3.0411196839110444,98.84394356008791,101.3621265399131
2024-07-18T18:40:03.896155,23.39,0.195,126.51077270507812,114.65777587890625,112.31927490234375,110.60150146484375,108.52677917480469,104.94898986816406,98.77809143066406,98.41243743896484,99.11498260498047,98.56333923339844,0.04535982012748718,127.17152743295853,114.30969372516188,111.82276009571048,110.34701672470949,108.32364722095127,103.65777589310483,98.26455339329812,97.42476471493826,98.22357991158184,97.93333298527747,13.544126785843167,82.51889163256345,5.871411316921931,3.4906980668150203,4.779998003023539,3.0348653924052864,98.86388107304272,101.39456343269048
